,item_identifyer,tangram,scene,raw_annotation,clean_annotation,head_noun,wn_lemma,selected_synset,synset_definition,tangram_id,item_id,image_url,partition_name,workspace_name,tangram_pos,order_idx,time_delta
0,3-bathroom-sws2_10,page-D,bathroom,person reading a book,person reading a book,person,person,person.n.01,a human being,3,35,035_grid_tr.png,sws2,sws2_10,tr,9,208.936461
1,3-bathroom-sws2_0,page-D,bathroom,bathroom attendant,bathroom attendant,bathroom attendant,attendant,attendant.n.01,someone who waits on or tends to or attends to the needs of another,3,35,035_grid_tr.png,sws2,sws2_0,tr,5,435.840241
2,3-bathroom-sws2_1,page-D,bathroom,PRIEST,priest,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,35,035_grid_tr.png,sws2,sws2_1,tr,3,130.278864
3,3-bathroom-sws2_15,page-D,bathroom,sliver,sliver,sliver,splinter,splinter.n.01,a small thin sharp bit or wood or glass or metal,3,35,035_grid_tr.png,sws2,sws2_15,tr,27,347.661279
4,3-bathroom-sws2_6,page-D,bathroom,person holding arms out,person holding arms out,person,person,person.n.01,a human being,3,35,035_grid_tr.png,sws2,sws2_6,tr,32,408.685458
5,3-bathroom-sws2_2,page-D,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom.n.01,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,3,35,035_grid_tr.png,sws2,sws2_2,tr,10,356.066482
6,3-bathroom-sws2_8,page-D,bathroom,person reading,person reading,person,person,person.n.01,a human being,3,35,035_grid_tr.png,sws2,sws2_8,tr,18,250.002603
7,3-bathroom-sws2_3,page-D,bathroom,person praying.,person,person,person,person.n.01,a human being,3,35,035_grid_tr.png,sws2,sws2_3,tr,0,0.0
8,3-bathroom-sws2_9,page-D,bathroom,person wearing bathrobe,person wearing bathrobe,person,person,person.n.01,a human being,3,35,035_grid_tr.png,sws2,sws2_9,tr,15,209.047451
9,3-bathroom-sws2_4,page-D,bathroom,standing person,person,person,person,person.n.01,a human being,3,35,035_grid_tr.png,sws2,sws2_4,tr,36,161.463082
10,3-beach-sws4_12,page-D,beach,person looking at a tablet,person looking at a tablet,person,person,person.n.01,a human being,3,40,040_grid_br.png,sws4,sws4_12,br,33,516.703648
11,3-beach-sws4_5,page-D,beach,Monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,40,040_grid_br.png,sws4,sws4_5,br,11,801.342614
12,3-beach-sws4_6,page-D,beach,A person reading a newspaper,person reading a newspaper,person,person,person.n.01,a human being,3,40,040_grid_br.png,sws4,sws4_6,br,27,627.17182
13,3-beach-sws4_8,page-D,beach,man,man,man,man,man.n.01,an adult person who is male (as opposed to a woman),3,40,040_grid_br.png,sws4,sws4_8,br,1,8.556067
14,3-beach-sws4_0,page-D,beach,a person,person,person,person,person.n.01,a human being,3,40,040_grid_br.png,sws4,sws4_0,br,34,555.582783
15,3-beach-sws4_9,page-D,beach,man fishing,man fishing,man,man,man.n.01,an adult person who is male (as opposed to a woman),3,40,040_grid_br.png,sws4,sws4_9,br,31,544.383047
16,3-beach-sws4_1,page-D,beach,monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,40,040_grid_br.png,sws4,sws4_1,br,34,372.246562
17,3-beach-sws4_10,page-D,beach,nun begging for change,nun,nun,nun,nun.n.01,a woman religious,3,40,040_grid_br.png,sws4,sws4_10,br,10,186.259782
18,3-beach-sws4_2,page-D,beach,praying,praying,praying,person,person.n.01,a human being,3,40,040_grid_br.png,sws4,sws4_2,br,20,395.946185
19,3-beach-sws4_3,page-D,beach,Person reading a book,person,person,person,person.n.01,a human being,3,40,040_grid_br.png,sws4,sws4_3,br,30,522.207479
20,3-bedroom-sws16_15,page-D,bedroom,robed woman,robed woman,woman,woman,woman.n.01,an adult female person (as opposed to a man),3,36,036_grid_br.png,sws16,sws16_15,br,23,526.633058
21,3-bedroom-sws16_0,page-D,bedroom,Looks like a person,person,person,person,person.n.01,a human being,3,36,036_grid_br.png,sws16,sws16_0,br,16,277.520075
22,3-bedroom-sws16_11,page-D,bedroom,priest,priest,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,36,036_grid_br.png,sws16,sws16_11,br,34,240.815512
23,3-bedroom-sws16_12,page-D,bedroom,mother with child,mother with child,mother,mother,mother.n.01,a woman who has given birth to a child (also used as a term of address to your mother),3,36,036_grid_br.png,sws16,sws16_12,br,36,365.606026
24,3-bedroom-sws16_10,page-D,bedroom,Statue,statue,statue,statue,statue.n.01,a sculpture representing a human or animal,3,36,036_grid_br.png,sws16,sws16_10,br,17,288.007362
25,3-bedroom-sws16_6,page-D,bedroom,jesus,jesus,jesus,Jesus,jesus.n.01,a teacher and prophet born in Bethlehem and active in Nazareth; his life and sermons form the basis for Christianity (circa 4 BC - AD 29),3,36,036_grid_br.png,sws16,sws16_6,br,35,629.877485
26,3-bedroom-sws16_8,page-D,bedroom,The tangram looks like a scholar wearing a graduation gown,scholar wearing a graduation gown,scholar,scholar,scholar.n.01,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines,3,36,036_grid_br.png,sws16,sws16_8,br,24,987.522946
27,3-bedroom-sws16_9,page-D,bedroom,A plank from a picket fence with a decorative piece on top.,plank from a picket fence with decorative piece on top,plank,board,board.n.02,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,3,36,036_grid_br.png,sws16,sws16_9,br,8,468.60045
28,3-bedroom-sws16_3,page-D,bedroom,cloaked person,person,person,person,person.n.01,a human being,3,36,036_grid_br.png,sws16,sws16_3,br,2,36.930047
29,3-bedroom-sws16_4,page-D,bedroom,a person reading,person,person,person,person.n.01,a human being,3,36,036_grid_br.png,sws16,sws16_4,br,32,376.499237
30,3-forest-sws18_15,page-D,forest,person praying,person praying,person,person,person.n.01,a human being,3,38,038_grid_tr.png,sws18,sws18_15,tr,8,172.425432
